well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
158158239,4099,12,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",157020733,116,64,155,-21.5219362834061,-64.6424250094975,43.8233030210448,15697,4096.0,CTX,superior parietal lobule
158158299,4098,11,CX,SPL-s,"superior parietal lobule, left, superior bank of gyrus",157001438,110,34,146,-18.115667489223306,-54.9296744725384,73.8893278975378,15697,4096.0,CTX,superior parietal lobule
158158287,4121,12,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",157019434,107,93,155,-13.700520918184,-59.3232315373732,14.048927978085404,15697,4118.0,CTX,precuneus
158158383,4207,12,CX,IOG-s,"inferior occipital gyrus, left, superior bank of gyrus",157016701,153,97,155,-59.171071175115785,-66.48402818494,13.4681540859706,15697,4205.0,CTX,inferior occipital gyrus
158158399,4201,12,CX,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",157021061,132,131,155,-38.9482665644395,-59.85541209591821,-18.9142931464561,15697,4198.0,CTX,occipito-temporal gyrus
158158253,4193,11,CX,LiG-pest,"lingual gyrus, left, peristriate",156994265,114,112,146,-19.684251251457,-53.3245367452714,-1.9481509578196696,15697,4191.0,CTX,lingual gyrus
158158237,4231,11,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",156994263,98,105,146,-7.0409479795503,-51.4205948556187,2.63765423958303,15697,4228.0,CTX,"cingulate gyrus, parietal part"
158158395,4193,11,CX,LiG-pest,"lingual gyrus, left, peristriate",156994264,116,111,146,-21.1716296434014,-53.7185534546236,-0.933778112552381,15697,4191.0,CTX,lingual gyrus
158158269,4114,11,CX,AnG-i,"angular gyrus, left, inferior bank of gyrus",156991108,153,71,146,-58.7660140058871,-57.58992247364839,38.161826647788,15697,4111.0,CTX,angular gyrus
158158317,4151,11,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",156997521,146,115,145,-52.6346351072924,-56.25872121360371,-2.9092212512283,15697,4147.0,CTX,inferior temporal gyrus
158158333,4149,11,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",156991061,140,132,145,-47.9623235988614,-52.321523856739,-20.6513647971562,15697,4147.0,CTX,inferior temporal gyrus
158158281,4230,10,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",156954787,97,61,133,-6.053414785151792,-40.363828603259705,47.080192031679104,15697,4228.0,CTX,"cingulate gyrus, parietal part"
158158313,4099,10,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",156952016,138,49,133,-44.4518484716849,-42.7013352622695,60.1181758884587,15697,4096.0,CTX,superior parietal lobule
158158373,4087,9,CX,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",156942098,117,51,117,-27.785323623641,-25.078032779143506,54.530819401460704,15697,4085.0,CTX,postcentral gyrus
158158357,4073,9,CX,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",156942089,91,36,117,-0.633079828146212,-24.0833238278191,70.33438354118671,15697,4071.0,CTX,"paracentral lobule, anterior part"
158158247,4107,9,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",156949431,151,83,117,-59.4255222476136,-31.5742955134815,25.4664135890294,15697,4104.0,CTX,supramarginal gyrus
158158343,4159,9,CX,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",156942560,125,140,117,-33.5283455160681,-25.4470077524834,-27.524640540398,15697,4156.0,CTX,fusiform gyrus
158158311,4150,9,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",156942563,153,144,117,-59.99153420175261,-27.0684526669521,-29.102567921534902,15697,4147.0,CTX,inferior temporal gyrus
158158391,4143,9,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",156939064,154,126,117,-61.4636239687057,-28.9990470291051,-14.5718905620828,15697,4140.0,CTX,middle temporal gyrus
158158375,4142,9,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",156939063,147,119,117,-52.4378091816634,-29.5419872821886,-8.32845698251976,15697,4140.0,CTX,middle temporal gyrus
158158359,4136,9,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",156939062,148,106,117,-54.53434285654329,-31.7951543045972,3.1952654223998795,15697,4133.0,CTX,superior temporal gyrus
158158291,4223,8,CX,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",156684808,98,65,107,-8.07791215038867,-17.4811898582179,41.105214894309896,15697,4221.0,CTX,"cingulate gyrus, frontal part"
158158323,4014,8,CX,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",156684243,127,43,107,-37.1257795548751,-17.3739517892729,65.34276624832461,15697,4010.0,CTX,precentral gyrus
158158293,4150,8,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",156685240,143,145,107,-50.91465290477961,-18.679998095167,-33.289225008768504,15697,4147.0,CTX,inferior temporal gyrus
158158277,4143,8,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",156685252,154,139,107,-60.5642940132201,-18.7980370751451,-25.7350033252944,15697,4140.0,CTX,middle temporal gyrus
157772990,4012,7,CX,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",156435093,119,46,93,-28.4834158896719,-3.04683876990349,60.1004836704951,15697,4010.0,CTX,precentral gyrus
157772880,4088,7,CX,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",156504406,154,67,94,-61.1815548856266,-5.802228424105032,41.9922157742104,15697,4085.0,CTX,postcentral gyrus
157772976,4166,7,CX,HG,"Heschl's gyrus, left",156503068,140,108,94,-48.7941836537467,-9.55801432836831,2.31296050803535,15697,4165.0,CTX,Heschl's gyrus
157772928,4166,7,CX,HG,"Heschl's gyrus, left",156503067,138,110,94,-47.3212579110112,-9.781489104770731,0.5945962977743879,15697,4165.0,CTX,Heschl's gyrus
157772896,4089,7,CX,PoG-il,"postcentral gyrus, left, inferior lateral aspect of gyrus",156503063,159,97,94,-64.907409823246,-6.930399495535059,12.7384118588937,15697,4085.0,CTX,postcentral gyrus
157773008,4151,7,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",156497615,141,145,94,-49.73710963780111,-6.44033548438638,-34.5900186811552,15697,4147.0,CTX,inferior temporal gyrus
157772988,4031,6,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",156431528,129,69,86,-36.9512862302047,0.716511901967807,37.9503435224264,15697,4028.0,CTX,middle frontal gyrus
157772956,4013,6,CX,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",156431530,146,59,86,-53.2429490301632,2.8216759285540403,49.629070346768,15697,4010.0,CTX,precentral gyrus
157772940,4012,6,CX,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",156431532,135,76,86,-41.59929555733171,1.8446087810694296,32.0337808218343,15697,4010.0,CTX,precentral gyrus
157773020,4079,6,CX,fro,"frontal operculum, left",156432771,151,108,86,-58.0654854155782,0.184190546215664,2.676264695075,15697,4078.0,CTX,frontal operculum
157773004,4014,6,CX,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",156432770,155,103,86,-61.3852218532816,1.17093183133175,7.38062933722438,15697,4010.0,CTX,precentral gyrus
157772958,4149,6,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",156265695,118,151,84,-28.9526532804038,1.17282952148278,-41.9449514319869,15697,4147.0,CTX,inferior temporal gyrus
158402862,4149,6,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",156265695,117,151,84,-28.0290392275678,1.2318471542767702,-41.9371760569474,15697,4147.0,CTX,inferior temporal gyrus
157772910,4136,6,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",156265693,143,128,86,-50.61481040616921,-1.47833652453868,-18.2005345324569,15697,4133.0,CTX,superior temporal gyrus
158158227,4224,4,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",155842530,92,84,65,-0.6392433778123371,23.235714909351,21.5341416846333,15697,4221.0,CTX,"cingulate gyrus, frontal part"
157772986,4063,4,CX,SCG,"subcallosal cingulate gyrus, left",155850202,96,128,64,-4.944014213551982,23.4552726086644,-18.3523959609592,15697,4062.0,CTX,subcallosal cingulate gyrus
157772890,4904,4,CX,TP-i,"temporal pole, left, inferior aspect",155844580,118,148,63,-28.9545420917118,19.6364806864865,-38.167124053819,15697,4174.0,CTX,temporal pole
157772858,4057,4,CX,POrG,"posterior orbital gyrus, left",155844579,126,130,63,-35.7374240928291,20.478426931965803,-21.0999782546548,15697,4056.0,CTX,posterior orbital gyrus
157772966,4023,5,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",155905709,95,57,71,-4.93409007337011,18.9959601750991,50.87416350484581,15697,4021.0,CTX,superior frontal gyrus
157772920,4273,5,CX,SIG,"short insular gyri, left",155899605,129,111,71,-37.7459465866376,12.9623593329063,-1.2881010613423,15697,4272.0,CTX,short insular gyri
157772902,4024,4,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",155874971,106,56,65,-17.217514774662,24.7139355304307,50.6222120767838,15697,4021.0,CTX,superior frontal gyrus
