Dk_label,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
L_lateralorbitofrontal,0.018793842461538455,0.05245083396634192,0.056159796033411466,0.03596170049109582,0.03299888328971675,0.04135970592050282,0.02403890430478399,0.026095865443294064,0.06007543787520277,0.03646328466322621,0.005225451538461539,0.003792579897435897,0.007429818410256411,0.015403301208928495,0.09150271864440028,0.1409294026203685,0.01598423259088539,0.04366788935099448,0.06984058138641966,0.11366674631107397,0.025166811851594285,0.02467982168404473,0.04688223193658175,0.011430158230769231
L_lingual,0.0394480856969697,0.003871065060606061,0.0347887010695826,0.006063336545454546,0.013667425424242426,0.022598323139997527,0.014104566727272729,0.035845271220186326,0.020517924323395238,0.01254258527329909,0.007184166787878788,0.011123587212121212,0.009196346727272727,0.0024944796363636362,0.04429741799756473,0.11238961681899122,0.009008128666666667,0.4864289860849602,0.04630069099966056,0.017321857225169348,0.006801262186836348,0.03502474124452621,0.007952643727272729,0.0010287900272727272
L_medialorbitofrontal,0.014867838172790698,0.032421702131925134,0.0582796427457527,0.04978195995914124,0.028637666067089243,0.02419641457034656,0.024289164097630166,0.03309715068774673,0.053853637787616655,0.08737253401192503,0.004822245767441862,0.00224517376744186,0.013705852255813953,0.04173025310757845,0.039463946215729594,0.15360259838526688,0.01688939253107209,0.024172595117135674,0.03161996898093167,0.11074561974611999,0.045427565279644484,0.019553005087389694,0.07745277435160336,0.011771299279069768
L_middletemporal,0.022071746642970617,0.04496803909640322,0.057313058816054925,0.04034703606417844,0.01594829591549296,0.019473587503436227,0.036980493884808646,0.01705004423302453,0.03420218507425278,0.05290142799569237,0.005029196526760563,0.003640409633802817,0.018664899033241093,0.02720122085887898,0.09188727830192213,0.17211683734057373,0.019462189201139818,0.04120688105581456,0.05962683293089751,0.12004779719243018,0.04375341719564842,0.01215306620865493,0.03607348099415285,0.007880578338028169
L_parahippocampal,0.0,0.0,0.06993124002943533,0.07175233916853054,0.008454889,0.15104285321296873,0.01882194,0.12210526787981903,0.006541317333333334,0.1367866277793884,0.005743864333333334,0.0,0.02904809,0.04195037148662623,0.0,0.0,0.06694859375436484,0.0,0.1637992738258451,0.05796463809685149,0.014134303333333332,0.0,0.024143954,0.010830436666666667
L_paracentral,0.029376953333333327,0.03497073988180068,0.06838401699809439,0.004785155208333333,0.017303624208333333,0.17604741885286765,0.026115069724747433,0.08072201563774638,0.03405110418920525,0.010239875458333334,0.005117067791666667,0.017057445291666664,0.0076453540416666676,0.0025272237916666666,0.07240481729538852,0.07215281521548356,0.011206505666666667,0.08743862951363567,0.10751198728581506,0.057443749795664294,0.025666451242495156,0.04528442278753977,0.0038133207500000003,0.002734236333333333
L_parsopercularis,0.021380419588235295,0.031131581176470583,0.11623440078753987,0.013066374588235296,0.006553399588235293,0.03347467560350313,0.031496408543600224,0.024629889671758973,0.08224544383060567,0.03136363584573802,0.004566149529411765,0.017116619,0.009334859352941175,0.009615625235294118,0.042575103794233106,0.11272482033284768,0.040071207317573854,0.025973241588594473,0.20334730693330869,0.03970922089084133,0.013846820529411765,0.04573447911233286,0.027026993121309403,0.01678132417647059
L_parsorbitalis,0.013757719699999999,0.07150767316156441,0.04601867080173143,0.04111933567544881,0.01472959995,0.014713861417365531,0.034028961192375556,0.03991111300659863,0.05752031023769781,0.023547973191841102,0.007406418099999999,0.00446374325,0.0052925234499999994,0.0119013128,0.07157159957855802,0.2577584765085807,0.0034777197499999994,0.020968837865138895,0.04798029257366536,0.10527098930244397,0.016849902450000002,0.03497969175206966,0.0438825728847576,0.01134070145
L_parstriangularis,0.026621406743249358,0.046063596233381465,0.07358972013636808,0.021420122662502775,0.012847213,0.051876181295386695,0.030594989688523738,0.029703608079760194,0.06587323216114165,0.01219918438095238,0.0061726801428571435,0.006698144476190477,0.012085085952380952,0.005261829047619048,0.08702925044197692,0.163000133263593,0.014656498522494111,0.07980340347419286,0.026154546589714195,0.12416456853020204,0.025263634990644362,0.04116782967189216,0.028648278380952377,0.009104862238095238
L_pericalcarine,0.04292195875,0.0065611965,0.04017781211206249,0.0,0.0099810572,0.012523596199999997,0.0016597142,0.039094309278476874,0.023749742649999996,0.00932896062,0.00609915275,0.011219918450000001,0.008048306,0.00202658735,0.033456864580796816,0.01002733255,0.0118728703,0.6405919068361703,0.036398256421262924,0.0,0.00197522825,0.039429749507466264,0.012761097600000002,9.43819e-05
