well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean,R,A,S,vertex,mm_to_surf
5684,4256,17,CX,CA3,"CA3 field, left",1002649,108,77,110,-18.084077,-36.17388267,14.09026175,10021,12894,HIPP,CA3 field,-15.5,-20,19,0,
5692,4257,17,CX,CA4,"CA4 field, left",1002282,107,77,110,-17.08306067,-36.05479225,13.8592714,10021,12895,HIPP,CA4 field,-14.5,-20,19,0,
5700,4258,17,CX,DG,"dentate gyrus, left",998938,109,77,110,-19.08548973,-36.29038569,14.316381396098402,10021,,,,-16.5,-20,19,0,
5708,4282,17,CX,BCd,"body of caudate nucleus, left",1002812,116,80,116,-26.39825604,-42.84003515,11.69114516,10021,12899,STR,body of the caudate nucleus,-23.5,-26,16,0,
4557,4289,10,CX,Pu,"putamen, right",978378,74,87,69,24.3948477,7.263806520235549,-1.447434281,10021,4287,STR,putamen,18.5,21,9,0,
4588,4043,10,CX,opIFG,"inferior frontal gyrus, opercular part, right",978447,44,84,66,56.83282157968039,13.6176595,2.5923519373512303,10021,4035,CTX,inferior frontal gyrus,48.5,24,12,18849,1.612599
4596,4058,10,CX,POrG,"posterior orbital gyrus, right",978444,66,103,69,34.17073756,7.831133941448789,-18.76108235,10021,4056,CTX,posterior orbital gyrus,26.5,21,-7,10518,-1.162453
4604,4906,10,CX,TP-s,"temporal pole, right, superior aspect",978446,59,104,69,41.851322855568704,6.173201571,-17.58581263,10021,4174,CTX,temporal pole,33.5,21,-8,31073,2.139502
4581,4014,10,CX,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",978624,139,83,71,-50.60392042,3.396584133,6.96598746,10021,4010,CTX,precentral gyrus,-46.5,19,13,19084,-1.522373
4573,4069,10,CX,PaOG,"parolfactory gyri, left",978622,119,102,71,-28.57794862,3.644525492,-17.71935267,10021,4068,CTX,parolfactory gyri,-26.5,19,-6,20052,1.273255
4589,4273,10,CX,SIG,"short insular gyri, left",978621,124,80,71,-33.16728539,3.759276719,8.138569751382509,10021,4272,CTX,short insular gyri,-31.5,19,16,10854,-0.445222
4597,4903,10,CX,TP-s,"temporal pole, left, superior aspect",978623,138,94,71,-50.12601384,1.327949468,-5.845247488,10021,4174,CTX,temporal pole,-45.5,19,2,31428,0.059987
4541,4904,10,CX,TP-i,"temporal pole, left, inferior aspect",979001,128,126,71,-44.16782567,-0.565701928,-45.36374713,10021,4174,CTX,temporal pole,-35.5,19,-30,22160,-0.392672
4517,4907,10,CX,TP-i,"temporal pole, right, inferior aspect",978916,56,119,71,47.987177533069286,1.65171658,-35.27470052,10021,4174,CTX,temporal pole,36.5,19,-23,21884,-1.208085
4525,4908,10,CX,TP-m,"temporal pole, right, medial aspect",978913,72,127,71,32.00718673,-0.924399324,-44.26981886,10021,4174,CTX,temporal pole,20.5,19,-31,22199,-0.860954
4533,4907,10,CX,TP-i,"temporal pole, right, inferior aspect",983191,57,117,71,46.81106762,1.556977932,-33.12635774,10021,4174,CTX,temporal pole,35.5,19,-21,21833,-0.585116
4572,4012,10,CX,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",978417,139,70,70,-48.48818208,3.45334121,22.45880716,10021,4010,CTX,precentral gyrus,-46.5,20,26,19514,-1.101067
4564,4024,10,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",982943,125,41,65,-34.06669224,13.246863260881698,55.25924975,10021,4021,CTX,superior frontal gyrus,-32.5,25,55,30480,-0.502097
4556,4030,10,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",980080,130,43,65,-39.93686786,13.38982996,53.348786104365104,10021,4028,CTX,middle frontal gyrus,-37.5,25,53,30506,-0.926807
4524,4027,10,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",978329,70,42,64,29.13339692,14.34284554,53.49298748,10021,4021,CTX,superior frontal gyrus,22.5,26,54,29910,1.567541
4562,4024,4,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",983142,108,59,25,-14.89083697,54.577125721250496,26.04030001,10021,4021,CTX,superior frontal gyrus,-15.5,65,37,28753,2.457942
4570,4027,4,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",977462,85,50,29,8.00176291,49.72363943,36.40772042,10021,4021,CTX,superior frontal gyrus,7.5,61,46,28955,0.955527
4546,4030,4,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",977469,110,60,25,-16.97832966,54.55745307,24.78175185,10021,4028,CTX,middle frontal gyrus,-17.5,65,36,28716,0.550527
4554,4033,4,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",977458,82,50,29,11.12653056,50.20905578,36.948784318878495,10021,4028,CTX,middle frontal gyrus,10.5,61,46,28891,-0.483001
4586,4024,4,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",983143,108,60,25,-14.87214684,54.71858823,24.826044919119106,10021,4021,CTX,superior frontal gyrus,-15.5,65,36,28827,2.195927
4538,4030,2,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",976928,108,90,18,-15.10927584,61.63045421,-9.313262071,10021,4028,CTX,middle frontal gyrus,-15.5,72,6,20839,1.278368
4530,4031,2,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",976929,108,96,18,-15.02365488,61.39771232,-16.69898305,10021,4028,CTX,middle frontal gyrus,-15.5,72,0,20875,1.795108
4514,4026,2,CX,SFG-m,"superior frontal gyrus, right, medial bank of gyrus",976924,87,87,15,6.35060253,62.32363376,-6.866382838,10021,4021,CTX,superior frontal gyrus,5.5,75,9,28006,2.453409
4577,4891,2,CX,FPi,"frontal pole, left, inferior aspect",976920,102,97,18,-8.841801701,61.15858197,-17.9825304,10021,4888,CTX,frontal pole,-9.5,72,-1,20970,1.094833
4593,4892,2,CX,FPm,"frontal pole, left, medial aspect",976921,94,101,17,-1.116581536,58.76112157,-22.8330503,10021,4888,CTX,frontal pole,-1.5,73,-5,21030,6.188074
4585,4895,2,CX,FPi,"frontal pole, right, inferior aspect",976922,84,102,15,8.511100261,60.80786371,-24.44473062,10021,4888,CTX,frontal pole,8.5,75,-6,20973,4.996777
4601,4896,2,CX,FPm,"frontal pole, right, medial aspect",976923,90,92,15,3.194073966,61.236093384119215,-12.59282779,10021,4888,CTX,frontal pole,2.5,75,4,21056,4.024621
4522,4891,2,CX,FPi,"frontal pole, left, inferior aspect",983172,102,95,18,-8.829358405,61.39751919,-15.50754354,10021,4888,CTX,frontal pole,-9.5,72,1,20970,1.371932
4683,4023,8,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",991116,101,62,47,-5.883090128,37.23473956,24.10805253,10021,4021,CTX,superior frontal gyrus,-8.5,43,34,29135,0.434152
