well_id,vertex,mni_x,mni_y,mni_z,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl,P-value,Correlation,RMSE
1249,61004,21.27007185,55.22211861,21.36431092,0.1224511061100622,0.0,0.0,0.0,0.0,0.0,0.1195094797960161,0.00630255,0.0,0.032850619,0.0,0.0,0.031538515,0.02092287,0.0,0.051963588,0.076662117,0.2821741542760322,0.0,0.058407543,0.0,0.091379929,0.098468648,0.007368882,9999.0,0.025622253,1.023407387017583
713,42214,59.65678771,-32.97617887,10.29534909,0.025403739,0.089541681,0.0,0.0,0.057393963,0.029959638,0.074380964,0.0,0.0,0.0,0.0,0.00543855,0.024528693,0.0,0.1787231382655658,0.056275848,0.0,0.2896226633513844,0.1016103168596492,0.0,0.007414318,0.059706488,0.0,0.0,9999.0,0.086698232,1.0123956909687608
1337,21910,-58.42740852,-43.72772676,-11.23733751,0.0,0.098260025,0.0,0.187744298598262,0.0,0.082807589,0.050254673,0.0,0.0,0.0,0.00141231,0.0,0.1117430691487703,0.01643409,0.071572661,0.0,0.084888493,0.0,0.2529326817387105,0.0,0.0,0.0,0.0,0.04195011,9999.0,0.014904648,1.042272074743616
1258,54623,63.19627956547279,-15.76726061,-30.8649991,0.0,0.082090472,0.067293484,0.0,0.057721909,0.0,0.095533806,0.0,0.054746893,0.0,0.003098087,0.0,0.055964311,0.046282344,0.009828913,0.078439166,0.029793052,0.0,0.174181803441156,0.1752491063916555,0.0,0.013431531,0.040002841,0.016342283,9999.0,0.1128069797190649,1.002403740261924
793,62637,32.953419401719195,20.90220736,31.37848605,0.0,0.0,0.0,0.1244124862048438,0.0,0.3775539044179948,0.0,0.1526688346595747,0.0,0.0,0.0,0.0,0.0,0.053663273,0.2659165916494143,0.0,0.0,0.02578491,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,-0.001140934,1.051777798713255
1250,62486,19.42561954,28.71246458,50.22191365153149,0.01083875,0.015019661,0.0,0.057845412,0.042171116,0.1914537744807419,0.1154480658802053,0.0,0.0,0.0,0.0,0.0,0.035130778,0.0,0.0,0.0,0.0,0.014851594,0.175450055966627,0.2201231368317326,0.045404468,0.073039127,0.0,0.003224061,9999.0,0.039260622,1.0128701532845183
818,54178,53.179512356711705,-14.19407208,-25.72021829,0.0,0.0,0.004957788,0.1977677217134365,0.080037311,0.0,0.066133173,0.0,0.03377693,0.0,0.0,0.0,0.035095453,0.074377112,0.0,0.2647718756762209,0.077746833,0.0,0.0,0.0,0.065484592,0.0,0.099851211,0.0,9999.0,0.038110131,1.0209762909103326
1281,9495,-65.78103253,-43.84971661,11.20405632,0.0,0.0,0.0,0.03278075,0.047973748,0.0,0.1348226717096403,0.0,0.031522953,0.0,0.0,0.0,0.038669385,0.0,0.0,0.0,0.012695077,0.2806750228936772,0.2196369860032258,0.1056567762943222,0.0,0.079556751,0.006102772,0.009907107,9999.0,0.1150304205526246,0.9982755008466776
1243,16223,-46.62436486,-60.49197013,29.66901876,0.0,0.0,0.3775950211365058,0.0,0.0,0.099965968,0.0,0.0,0.0,0.2301989639703072,0.0,0.0,0.1893043691045381,0.024637577,0.0,0.0,0.022026357,0.0,0.0,0.0,0.0,0.056271743,0.0,0.0,9999.0,0.1292524566073943,1.0043467333043674
1036,10423,-35.40253015,-16.5267222,13.09471213,0.0,0.024857671,0.0,0.0,0.040796172,0.0,0.066996498,0.0,0.028887819,0.003870137,0.013770781,0.012029797,0.0,0.0,0.0,0.2411350084614508,0.0,0.2639874530365595,0.2582672648077928,0.0,0.0,0.020713084,0.018584985,0.00610333,9999.0,0.1390501831285701,0.9954570618372434
553,24632,-29.24308147,-61.04530328,-11.8919376,0.078165538,0.0,0.0,0.0,0.047923609,0.064148133,0.0,0.0,0.0,0.004877509,0.00112653,0.0,0.0,0.0,0.090446131,0.4611573493088975,0.0,0.040808332,0.1581113297649522,0.0,0.043068715,0.010166825,0.0,0.0,9999.0,0.03164001,1.0135998528985493
499,64099,58.27954191,7.900104149,-11.14202339,0.0,0.03507621,0.0,0.0,0.0,0.1114107169513338,0.0,0.3610799780903122,0.0,0.0,0.0,0.0,0.035456986,0.1058836640403694,0.1659386678719491,0.0,0.1294599171353765,0.0,0.0,0.0,0.0,0.0,0.026945993,0.028747867,9999.0,0.008059222,1.0402090300242073
297,53024,28.99100503065381,60.20526756,-5.884538351,0.042541455,0.072670672,0.0,0.077616542,0.0,0.0,0.0,0.0,0.05691651,0.0,0.01428082,0.0,0.0,0.0,0.016616393,0.5605316781389498,0.0,0.0,0.068192341,0.0,0.0,0.069624454,0.021009135,0.0,9999.0,0.088291841,1.0059470508595652
537,57163,29.12261635,-63.62130191,-11.01039485,0.013763355,0.035765075,0.078288429,0.007317422,0.0,0.0,0.0,0.0,0.038605101,0.091389069,0.0,0.014724915,0.004287061,0.005986228,0.0,0.5106174696582341,0.0,0.1031345006448962,0.073922789,0.0,0.009716108,0.012482478,0.0,0.0,9999.0,0.2274203093201483,0.980242112285962
659,22318,-56.55975131,-52.75827482,-14.90725257,0.0,0.081082305,0.041236037,0.009353811,0.014070387,0.0,0.02833545,0.0,0.1075427386382027,0.029253644,0.0,0.019042619,0.031279537,0.006614642,0.0,0.4114384012154288,0.0,0.0,0.074216348,0.0,0.1175027092638843,0.0,0.029031372,0.0,9999.0,0.1370048021049705,0.9936550931356736
580,55539,21.79303008,-52.71318385,-11.98821971,0.008282002,0.013436593,0.1242502124319293,0.021186033,0.029259388,0.0,0.021607116,0.0,0.042117762,0.08487761,0.004291087,0.007438967,0.019496683,0.026051758,0.0,0.3033238325747786,0.0,0.045897357,0.031055428,0.1676790513968003,0.0,0.0,0.04974912,0.0,9999.0,0.2320802882550843,0.9769354453815012
667,22733,-49.594893,-53.83660849,-18.68880016,0.003220538,0.06635202,0.060253689,0.0,0.0,0.0,0.013379616,0.0,0.1222263384552871,0.020862413,0.002995538,0.022909166,0.0,0.0,0.008343624,0.4145868251721179,0.0,0.0,0.1607994432643991,0.0,0.071102224,0.0,0.027909078,0.005059487,9999.0,0.1165315585860574,0.9983523209550068
635,55692,57.30093014515511,-50.36199942,-15.94122589,0.0,0.089432771,0.067285407,0.0,0.004381162,0.0,0.00439111,0.0,0.1026024631587814,0.066029274,0.001720148,0.018527111,0.019604156,0.019321888,0.0,0.3455088503024082,0.0,0.0,0.083836648,0.071043523,0.050082581,0.0,0.056154771,7.81366e-05,9999.0,0.2166038170549194,0.978879861829168
651,54066,44.03175979,-55.05211297,-18.72137018,0.004825822,0.022812605,0.2046453735888515,0.0,0.032085008,0.0,0.01591397,0.0,0.084552564,0.045454348,0.004608638,0.025900312,0.0,0.005136019,0.0,0.2863061053368355,0.0,0.0,0.1607120597633583,0.0,0.1070471752228033,0.0,0.0,0.0,9999.0,0.043947711,1.0088858207482359
619,40893,67.38164094,-30.51627327,36.30916257,0.01725927,0.044306528,0.031279259,0.010742837,0.0,0.0,0.06412907,0.0,0.05762639,0.017468311,0.0,0.010750016,0.037530275,0.065954538,0.0,0.093486934,0.0,0.0,0.2508099633027627,0.2048403171012496,0.036899925,0.0,0.04700562,0.009910747,9999.0,0.166475421324218,0.9881411623790248
603,42103,66.20513766,-34.75606423,18.9507944,0.0,0.1428414224623076,0.026628736,0.0,0.033194868,0.0,0.0,0.0,0.2357290573816174,0.0,0.001905748,0.031015629,0.0,0.004563089,0.069239541,0.0,0.0,0.0,0.2077415255554958,0.042634307,0.1099185206451655,0.0,0.070013634,0.024573919,9999.0,0.1955166877301353,0.9838298498336076
595,41987,66.69639384,-40.21478198,4.146982506,0.0,0.060424115,0.1819862852760981,0.0,0.003725814,0.0,0.032755094,0.0,0.1203351916701256,0.1071865694517515,0.0,0.014436689,0.019950398,0.025748173,0.010383651,0.033476322,0.0,0.02248591,0.3109725833693842,0.0,0.0,0.013084743,0.037392701,0.005655759,9999.0,0.1618943894202232,0.9882871263873741
627,41091,67.27776853,-44.41368218,-1.284554759,0.0,0.054080681,0.08500805,0.0,0.032660932,0.0,0.061476378,0.0,0.1133299951236717,0.01273416,0.0,0.019369694,0.067378732,0.0,0.004266409,0.01230912,0.0,0.0,0.2542021069372887,0.1807137650032739,0.008447626,0.032531553,0.043963701,0.017527097,9999.0,0.1800063622085168,0.9847844158854456
587,41563,49.1514328,-40.78288568,3.700823375,0.002128975,0.054894722,0.2337233912946526,0.0,0.0,0.033211279,0.0,0.0,0.062328577,0.1230543043692189,0.005347057,0.025414539,0.003753694,0.012283112,0.010758258,0.087314721,0.0,0.0,0.2930594100484629,0.0,0.052554347,0.0,0.0,0.000173615,9999.0,0.1661336247601457,0.9876646028040516
642,7940,-57.09512124,-21.85016813,51.24562113,0.017856113,0.0,0.06707383,0.0,0.022523921,0.0,0.02874266,0.013585028,0.0,0.040861211,0.0,0.004707695,0.025571892,0.015475622,0.1203754107485478,0.013066083,0.0,0.3593674691156302,0.1641587944162332,0.0,0.0,0.066499998,0.040134272,0.0,9999.0,0.1583014762642265,0.9894807070785012
650,7887,-51.9528303,-23.93100527,47.36176084,0.009226507,0.039286562,0.1905817001012487,0.0,0.0,0.0,0.0,0.0,0.023310567,0.0,0.002038802,0.020895473,0.028912618,0.0,0.049940577,0.3348466247545748,0.0,0.1242271577920949,0.05033541,0.0,0.032134932,0.072893281,0.021286314,8.34744e-05,9999.0,0.1372696069541714,0.992497232309676
658,17406,-53.20751132,-28.68185395,43.34062463,0.0,0.075032148,0.053672019,0.0,0.0,0.0,0.0,0.0,0.07464761,0.0,0.008848753,0.000169651,0.037227826,0.018051325,0.1337958189655048,0.0,0.0,0.0,0.4320448844093747,0.1157187611542593,0.0,0.021114349,0.0,0.029676855,9999.0,0.057807289,1.0124795052543911
666,17080,-62.52596631,-39.73975196,22.921356142866607,0.001639587,0.0,0.067332525,0.016128252,0.026395846,0.008495736,0.030637424,0.0,0.1180709827954968,0.006921077,0.0125246,0.011456183,0.017640428,0.040839444,0.0,0.1366603933159594,0.0,0.0,0.0,0.382587383764975,0.060236827,0.009531708,0.046587126,0.006314478,9999.0,0.212688157515589,0.9787654741827234
602,6156,-22.88207629,-14.55639437,65.80019723,0.0,0.035541753,0.01733198,0.0,0.040305498,0.1481081077389526,0.0,0.03768603,0.0,0.1134036222903168,0.000136603,0.003947023,0.022776375,0.033720186,0.1365422452726283,0.0,0.0,0.0,0.2878460039554334,0.063631365,0.057762002,0.0,0.0,0.001261207,9999.0,0.1267531124430265,0.9969294547615491
610,5577,-37.60655561,-17.2941489,64.22244343,0.040616301,0.066375899,0.2054678655723906,0.0,0.0,0.1558721037558927,0.0,0.0,0.0,0.0,0.00359658,0.019744708,0.0,0.0,0.028539656,0.0,0.0,0.0,0.3482618803453819,0.044556838,0.076959798,0.0,0.0,0.010008371,9999.0,0.094299932,1.000660817825203
626,5226,-37.86250836,-19.61311062,48.22066345,0.0,0.043386402,0.2129526303434702,0.0,0.0,0.1571537312820524,0.0,0.097706918,0.0,0.004821496,0.005604608,0.017677626,0.0,0.0,0.1807790524769329,0.0,0.022822294,0.0,0.22204127979796,0.0,0.028400892,0.0,0.0,0.00665307,9999.0,0.157533842802669,0.9915944171337516
634,7931,-42.09439719,-21.1560735,49.35922558,0.055842506,0.024945397,0.1297688309000672,0.0,0.004581266,0.038075168,0.0,0.0,0.0,0.1450157801013283,0.005235185,0.013922122,0.004739718,0.017531858,0.001598234,0.1533363566166607,0.0,0.2436068548845641,0.1575317859779142,0.0,0.0,0.004268937,0.0,0.0,9999.0,0.1856060468746848,0.9858895288514608
618,7747,-46.90620088,-20.27925798,59.44779251,0.009714019,0.00801076,0.040746278,0.005468803,0.017545879,0.0,0.004059585,0.0,0.037876132,0.013687475,0.01763931,0.007613708,0.017913235,0.0,0.0,0.445090596814926,0.0,0.1736608309390888,0.063278399,0.070431483,0.031979544,0.016342436,0.018941525,0.0,9999.0,0.1745750421606865,0.988897370024696
665,37109,8.900397628108589,-14.78581854,72.80470751741291,0.0,0.037086616,0.2899460388960032,0.0,0.0,0.2101015864724813,0.0,0.1363853410723049,0.0,0.096609929,0.0,0.018070398,0.009592777,0.0,0.1160817129434772,0.0,0.0,0.0,0.036101348,0.00230114,0.0,0.042032803,0.0,0.005690308,9999.0,0.1742339630429217,0.9857753214548874
649,38437,25.027867993553706,-17.09062837,70.85945686,0.039880025,0.053823642,0.1668755290810477,0.0,0.004727403,0.2761946048717233,0.0,0.0,0.058877633,0.0,0.0,0.02442029,0.000446527,0.003029779,0.0,0.045862355,0.0,0.0,0.1005372924533372,0.152064338186696,0.052863085,0.0,0.020397497,0.0,9999.0,0.1924101732737488,0.9839953350298604
657,38203,34.626287130707105,-16.75816509,64.42525766,0.0,0.053810613,0.1674658522634541,0.0,0.0,0.2082157761946981,0.036707354,0.0,0.0,0.0,0.002662993,0.022662481,0.019839853,0.0,0.043344061,0.09629375,0.0,0.0,0.2482131329093811,0.036651595,0.013493763,0.048266188,0.0,0.002372587,9999.0,0.026704344,1.0117244075396212
